tokenId,name,description,image,background,skins,clothes,necklaces,mouth,eyes,glasses,tops,back,earings
729,POLC 729,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",729.png,glitch,brown,chimp crewneck,gold,blob,sadz,pink,cream pol cap,,
683,POLC 683,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",683.png,pinkz,mecha,black crewneck,,crongz,dollars,,pink gamer,wood,
379,POLC 379,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",379.png,greenz,latte,blue tiedye,,happy,dizzy,purple vr,,,
396,POLC 396,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",396.png,yellowz,gold,oldblu tiedye,,smile,glassy,,purple mohawk,,
1209,POLC 1209,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1209.png,sky blue,drippy,black puffer jacket,,crongz,reg,,red party,,
816,POLC 816,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",816.png,mintz,drippy,,silver brick,crongz,glassy,,,,
115,POLC 115,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",115.png,greenz,brown,cream shirt,,crongz,cocke,white movie,,,trippie gold.PNG
1120,POLC 1120,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1120.png,pinkz,gold,,,smile,focus,red neon,,,silver circle.PNG
545,POLC 545,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",545.png,cloud,brown,white crewneck,gold,yummy,happiez,white movie,,,
1065,POLC 1065,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1065.png,pinkz,gold,black shirt,,rainbow,cocke,red neon,,,
1435,POLC 1435,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1435.png,Green Bubble,cyan,purple fire,,gummy,sleep,,,,
400,POLC 400,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",400.png,mintz,blue,blue fire,,blob,puffy,,banana cap,,
953,POLC 953,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",953.png,pinkz,brown,bw tshirt,,meh pee,focus,,,katana,
284,POLC 284,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",284.png,bluez,brown,black polc,,dum,cocke,,,,triple silver.PNG
791,POLC 791,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",791.png,trippz,green,bk friends tshirt,,meh pee,fire,blue neon,,,
512,POLC 512,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",512.png,mintz,black,,goldener,gummy,boredz,yellow neon,blue pol cap,,
1177,POLC 1177,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1177.png,yellowz,latte,,,bored,boredz,,black bc,,trippie silver.PNG
142,POLC 142,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",142.png,Pink Bubble,brown,gray tshirtz,,bubblegum,happiez,blue vr,toycap,,
841,POLC 841,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",841.png,mangaz,gold,blue fire,silver brick,crongz,sadz,,cream pol cap,,
904,POLC 904,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",904.png,purple,drippy,tanktop,,yawn,fire,,red beanie,,
1198,POLC 1198,"Polychimpz, an exclusive collection of 1515 NFTs on the Polygon network. Each NFT embodies the spirit of a community-driven ecosystem, giving you a voice in our DAO. Participate in token governance and help shape the future of our project.",1198.png,glitch,mecha,blue ily,,sad,reg,white movie,blue pol cap,,
